Term ID	Label	Parent Term	Definition	GECKO Category	Internal ID	Suggested Categories	Comment
CXR:0000001	Clinical code		A SNOMED code or a Local EMIS code (Coding 7689) depending on the 'code_type' field				
CXR:0000002	Type of code used in 'code' field						
CXR:0000003	Encoded participant identifier						
CXR:0000004	Date clinical code entered		Special coded values are given in Coding 819.				
CXR:0000005	Unit recorded for value		The unit for the recorded value, or a special coded value from Coding 1176.				
CXR:0000006	Value recorded		The value recorded, or a special coded value from Coding 2360.				
CXR:0000007	Clinical code		Depending on the value of the 'code_type' field, items are coded according to the Dictionary of medicines and devices (dm+d), or an EMIS Local Prescription Code (Coding 7678).				
CXR:0000008	Type of code used in 'code' field						
CXR:0000009	Encoded participant identifier						
CXR:0000010	Date of issue		Special coded values are given in Coding 819.				
CXR:0000011	Blood group of participant		The blood group has been extracted from imputed genotyped data (Showcase Data-Field 23165).				
CXR:0000012	Encoded participant identifier						
CXR:0000013	Whether the requesting organisation is from an organisation known to provide acute (emergency) care.		Used in the construction of the 'origin' field.				
CXR:0000014	Encoded participant identifier						
CXR:0000015	Whether the sample is recorded as being hospital acquired.		Used in the construction of the 'origin' field.				
CXR:0000016	The laboratory that processed the sample						
CXR:0000017	Field (possibly) indicating whether the patient was an inpatient when the sample was taken.		This is based on information provided on the specimen request form and may not be reliable. See the COVID-19 test page on Showcase Essential Information for information about how this field is constructed by the data provider.				
CXR:0000018	Requesting organisation description.		Used in the construction of the 'origin' field.				
CXR:0000019	Whether the sample was reported as positive or negative for SARS-CoV-2.						
CXR:0000020	Date the specimen was taken						
CXR:0000021	Specimen type		Specimen type as recorded on the laboratory request form (e.g. nasal, nose and throat, sputum)				
CXR:0000022	Whether the requesting organisation is from an organisation known to provide acute (emergency) care		Used in the construction of the 'origin' field.				
CXR:0000023	Encoded participant identifier						
CXR:0000024	Whether the sample is recorded as being hospital acquired		Used in the construction of the 'origin' field.				
CXR:0000025	The laboratory that processed the sample						
CXR:0000026	Field (possibly) indicating whether the patient was an inpatient when the sample was taken		This is based on information provided on the specimen request form and may not be reliable. See the COVID-19 test page on Showcase Essential Information for information about how this field is constructed by the data provider.				
CXR:0000027	Requesting organisation description		Used in the construction of the 'origin' field.				
CXR:0000028	Whether the sample was reported as positive or negative for SARS-CoV-2						
CXR:0000029	Date the specimen was taken						
